,condition,time,perturbation,timeXperturbation
RABCT0,0,0,0,0
RA1T1,1,1,1,0
RA1T2,1,2,1,1
RA2T1,1,1,1,0
RA2T2,1,2,1,1
RA3T1,1,1,1,0
RA3T2,1,2,1,1
RA4T1,1,1,1,0
RA4T2,1,2,1,1
RA5T1,1,1,1,0
RA5T2,1,2,1,1
RB1T1,2,1,2,0
RB1T2,2,2,2,2
RB2T1,2,1,2,0
RB2T2,2,2,2,2
RB3T1,2,1,2,0
RB3T2,2,2,2,2
RB4T1,2,1,2,0
RB4T2,2,2,2,2
RB5T1,2,1,2,0
RB5T2,2,2,2,2
RC1T1,0,1,0,0
RC1T2,0,2,0,0
RC2T1,0,1,0,0
RC2T2,0,2,0,0
RC3T1,0,1,0,0
RC3T2,0,2,0,0
RC4T1,0,1,0,0
RC4T2,0,2,0,0
RC5T1,0,1,0,0
RC5T2,0,2,0,0